Firm Name,Primary Contact,Email,City,State/Province,Specialization,Website,LinkedIn,Estimated Client Base,Priority,Notes
Berry Appleman & Leiden LLP,Search on website,info@bal.com,San Francisco,CA,H1B/TN/L1 Corporate Immigration,https://www.bal.com,https://www.linkedin.com/company/berry-appleman-leiden-llp,5000+,High,Largest immigration firm globally
Fragomen,Search on website,info@fragomen.com,New York,NY,H1B/PERM/Corporate Immigration,https://www.fragomen.com,https://www.linkedin.com/company/fragomen,10000+,High,Big 4 of immigration law
Greenberg Traurig LLP,Search on website,immigration@gtlaw.com,New York,NY,H1B/L1/EB Immigration,https://www.gtlaw.com,https://www.linkedin.com/company/greenberg-traurig-llp,3000+,High,Major law firm with immigration practice
Jackson Lewis P.C.,Search on website,info@jacksonlewis.com,Seattle,WA,Employment-based Immigration,https://www.jacksonlewis.com,https://www.linkedin.com/company/jackson-lewis-p-c-,2000+,High,Employment law + immigration
Klasko Immigration Law Partners,Search on website,info@klaskolaw.com,Philadelphia,PA,H1B/EB5/Corporate Immigration,https://www.klaskolaw.com,https://www.linkedin.com/company/klasko-immigration-law-partners-llp,1500+,Medium,Boutique immigration firm
Siskind Susser PC,Search on website,info@visalaw.com,Memphis,TN,H1B/TN/L1 Immigration,https://www.visalaw.com,https://www.linkedin.com/company/siskind-susser-pc,1000+,Medium,Tech worker immigration specialists
Foster LLP,Search on website,info@foster.com,Seattle,WA,Tech Company Immigration,https://www.foster.com,https://www.linkedin.com/company/foster-llp,800+,High,"Seattle tech hub, Amazon/Microsoft clients"
Wolfsdorf Rosenthal LLP,Search on website,info@wolfsdorf.com,Los Angeles,CA,H1B/EB Immigration,https://www.wolfsdorf.com,https://www.linkedin.com/company/wolfsdorf-rosenthal-llp,1200+,Medium,California-focused
Kurzban Kurzban Tetzeli & Pratt P.A.,Search on website,info@kktp.com,Miami,FL,H1B/TN Immigration,https://www.kktp.com,https://www.linkedin.com/company/kurzban-kurzban-tetzeli-pratt-p-a-,600+,Low,Florida-based
Maggio Kattar,Search on website,info@maggio-kattar.com,Washington,DC,H1B/PERM/Corporate Immigration,https://www.maggio-kattar.com,https://www.linkedin.com/company/maggio-kattar,500+,Medium,DC area specialists
Reddy Neumann Brown PC,Search on website,info@reddyneumannbrown.com,Houston,TX,H1B/L1 Immigration,https://www.reddyneumannbrown.com,https://www.linkedin.com/company/reddy-neumann-brown-pc,800+,Medium,Texas energy + tech
Murthy Law Firm,Sheela Murthy,info@murthy.com,Baltimore,MD,H1B/TN/Family Immigration,https://www.murthy.com,https://www.linkedin.com/company/murthy-law-firm,2000+,High,Well-known in immigrant communities
H1BGrader Law Offices,Search on website,info@h1bgrader.com,Mountain View,CA,H1B Specialists,https://www.h1bgrader.com,https://www.linkedin.com/company/h1bgrader,400+,High,Silicon Valley focus
Polyakov Immigration,Max Polyakov,max@polyakovlaw.com,San Jose,CA,H1B/TN/Tech Immigration,https://www.polyakovlaw.com,https://www.linkedin.com/company/polyakov-immigration,300+,High,Startups + tech workers
Immi-USA,Search on website,info@immi-usa.com,Irvine,CA,H1B/TN/L1 Immigration,https://www.immi-usa.com,https://www.linkedin.com/company/immi-usa,600+,Medium,California tech workers
Gordon Law Group,David Gordon,info@gordonlawgroup.com,New York,NY,H1B/EB Immigration,https://www.gordonlawgroup.com,https://www.linkedin.com/company/gordon-law-group,500+,Medium,NYC-based
Wildes & Weinberg P.C.,Search on website,info@wildeslaw.com,New York,NY,H1B/O1/EB Immigration,https://www.wildeslaw.com,https://www.linkedin.com/company/wildes-weinberg-p-c-,1000+,High,Oldest immigration firm in US
Davies Law Group,John Davies,info@davieslawgroup.com,Austin,TX,H1B/TN/Startup Immigration,https://www.davieslawgroup.com,https://www.linkedin.com/company/davies-law-group,400+,Medium,Austin tech scene
Passage Immigration Law,Search on website,info@passageimmigration.com,Vancouver,BC,TN Visa/Canada-US Immigration,https://www.passageimmigration.com,https://www.linkedin.com/company/passage-immigration-law,300+,High,Cross-border specialists
Elgin Law,Search on website,info@elginlaw.com,Toronto,ON,TN Visa/Work Permits,https://www.elginlaw.com,https://www.linkedin.com/company/elgin-law,250+,High,Toronto tech workers
Watson Law Group,Renée Watson,info@watsonlawgroup.com,Vancouver,BC,TN Visa/US Work Permits,https://www.watsonlawgroup.com,https://www.linkedin.com/company/watson-law-group,200+,Medium,Vancouver to US specialists
Cohen Immigration Law,David Cohen,info@canadavisa.com,Montreal,QC,TN Visa/Canadian Immigration,https://www.canadavisa.com,https://www.linkedin.com/company/cohen-immigration-law,1500+,High,Large Canadian firm
Bellissimo Law Group,Search on website,info@bellissimolaw.com,Toronto,ON,TN Visa/Work Permits,https://www.bellissimolaw.com,https://www.linkedin.com/company/bellissimo-law-group,600+,Medium,GTA-based
Green and Spiegel,Search on website,info@gsimmigration.com,Toronto,ON,TN Visa/US Immigration,https://www.gsimmigration.com,https://www.linkedin.com/company/green-and-spiegel,400+,Medium,Cross-border focus
Chaudhary Law Office,Sukhvir Chaudhary,info@chaudharylaw.ca,Brampton,ON,TN Visa/NAFTA Immigration,https://www.chaudharylaw.ca,https://www.linkedin.com/company/chaudhary-law-office,300+,Low,Ontario-based
Matthew Jeffery,Matthew Jeffery,info@matthewjeffery.ca,Toronto,ON,TN Visa/CUSMA Immigration,https://www.matthewjeffery.ca,https://www.linkedin.com/company/matthew-jeffery-immigration,200+,Medium,Solo practitioner
Mamann Sandaluk & Kingwell LLP,Search on website,info@msk.ca,Toronto,ON,TN Visa/Work Permits,https://www.msk.ca,https://www.linkedin.com/company/mamann-sandaluk-kingwell-llp,500+,Medium,Toronto-based
