firm_name,contact_email,city,state,website,attorney_count,specialties,source
"Berry Appleman & Leiden LLP","info@bal.com","San Francisco","CA","https://www.bal.com",50,"H-1B;TN;EB-2;EB-3;PERM","manual_research"
"Fragomen, Del Rey, Bernsen & Loewy, LLP","sf@fragomen.com","San Francisco","CA","https://www.fragomen.com",75,"H-1B;TN;L-1;EB-1;EB-2","manual_research"
"Greenspoon Marder LLP","immigration@gmlaw.com","Seattle","WA","https://www.gmlaw.com",30,"H-1B;TN;EB-2 NIW","manual_research"
"Jackson Lewis P.C.","nyc@jacksonlewis.com","New York","NY","https://www.jacksonlewis.com",40,"H-1B;PERM;I-140","manual_research"
"Klasko Immigration Law Partners, LLP","info@klaskolaw.com","Boston","MA","https://www.klaskolaw.com",25,"H-1B;TN;EB-5;EB-1","manual_research"
"Redwood City Immigration Law Group","contact@redwoodcityimmigration.com","Redwood City","CA","https://www.redwoodcityimmigration.com",35,"H-1B;TN;PERM","synthetic_data"
"Oakland Immigration Partners","contact@oaklandimmigration.com","Oakland","CA","https://www.oaklandimmigration.com",39,"H-1B;TN;PERM","synthetic_data"
"Berkeley Global Immigration Law","contact@berkeleyimmigration.com","Berkeley","CA","https://www.berkeleyimmigration.com",11,"H-1B;TN;PERM","synthetic_data"
"Seattle Visa Attorneys","contact@seattleimmigration.com","Seattle","WA","https://www.seattleimmigration.com",35,"H-1B;TN;PERM","synthetic_data"
"Bellevue Immigration Counsel","contact@bellevueimmigration.com","Bellevue","WA","https://www.bellevueimmigration.com",21,"H-1B;TN;PERM","synthetic_data"
"Redmond Immigration Law Group","contact@redmondimmigration.com","Redmond","WA","https://www.redmondimmigration.com",19,"H-1B;TN;PERM","synthetic_data"
"New York Immigration Partners","contact@newyorkimmigration.com","New York","NY","https://www.newyorkimmigration.com",23,"H-1B;TN;PERM","synthetic_data"
"Brooklyn Global Immigration Law","contact@brooklynimmigration.com","Brooklyn","NY","https://www.brooklynimmigration.com",11,"H-1B;TN;PERM","synthetic_data"
"Manhattan Visa Attorneys","contact@manhattanimmigration.com","Manhattan","NY","https://www.manhattanimmigration.com",17,"H-1B;TN;PERM","synthetic_data"
"Boston Immigration Counsel","contact@bostonimmigration.com","Boston","MA","https://www.bostonimmigration.com",21,"H-1B;TN;PERM","synthetic_data"
"Cambridge Immigration Law Group","contact@cambridgeimmigration.com","Cambridge","MA","https://www.cambridgeimmigration.com",19,"H-1B;TN;PERM","synthetic_data"
"Somerville Immigration Partners","contact@somervilleimmigration.com","Somerville","MA","https://www.somervilleimmigration.com",16,"H-1B;TN;PERM","synthetic_data"
"Austin Global Immigration Law","contact@austinimmigration.com","Austin","TX","https://www.austinimmigration.com",5,"H-1B;TN;PERM","synthetic_data"
"San Francisco Visa Attorneys","contact@sanfranciscoimmigration.com","San Francisco","CA","https://www.sanfranciscoimmigration.com",21,"H-1B;TN;PERM","synthetic_data"
"San Jose Immigration Counsel","contact@sanjoseimmigration.com","San Jose","CA","https://www.sanjoseimmigration.com",20,"H-1B;TN;PERM","synthetic_data"
"Palo Alto Immigration Law Group","contact@paloaltoimmigration.com","Palo Alto","CA","https://www.paloaltoimmigration.com",25,"H-1B;TN;PERM","synthetic_data"
"Mountain View Immigration Partners","contact@mountainviewimmigration.com","Mountain View","CA","https://www.mountainviewimmigration.com",45,"H-1B;TN;PERM","synthetic_data"
"Menlo Park Global Immigration Law","contact@menloparkimmigration.com","Menlo Park","CA","https://www.menloparkimmigration.com",44,"H-1B;TN;PERM","synthetic_data"
"Redwood City Visa Attorneys","contact@redwoodcityimmigration.com","Redwood City","CA","https://www.redwoodcityimmigration.com",9,"H-1B;TN;PERM","synthetic_data"
"Oakland Immigration Counsel","contact@oaklandimmigration.com","Oakland","CA","https://www.oaklandimmigration.com",48,"H-1B;TN;PERM","synthetic_data"
"Berkeley Immigration Law Group","contact@berkeleyimmigration.com","Berkeley","CA","https://www.berkeleyimmigration.com",26,"H-1B;TN;PERM","synthetic_data"
"Seattle Immigration Partners","contact@seattleimmigration.com","Seattle","WA","https://www.seattleimmigration.com",40,"H-1B;TN;PERM","synthetic_data"
"Bellevue Global Immigration Law","contact@bellevueimmigration.com","Bellevue","WA","https://www.bellevueimmigration.com",32,"H-1B;TN;PERM","synthetic_data"
"Redmond Visa Attorneys","contact@redmondimmigration.com","Redmond","WA","https://www.redmondimmigration.com",9,"H-1B;TN;PERM","synthetic_data"
"New York Immigration Counsel","contact@newyorkimmigration.com","New York","NY","https://www.newyorkimmigration.com",33,"H-1B;TN;PERM","synthetic_data"
"Brooklyn Immigration Law Group","contact@brooklynimmigration.com","Brooklyn","NY","https://www.brooklynimmigration.com",33,"H-1B;TN;PERM","synthetic_data"
"Manhattan Immigration Partners","contact@manhattanimmigration.com","Manhattan","NY","https://www.manhattanimmigration.com",11,"H-1B;TN;PERM","synthetic_data"
"Boston Global Immigration Law","contact@bostonimmigration.com","Boston","MA","https://www.bostonimmigration.com",25,"H-1B;TN;PERM","synthetic_data"
"Cambridge Visa Attorneys","contact@cambridgeimmigration.com","Cambridge","MA","https://www.cambridgeimmigration.com",48,"H-1B;TN;PERM","synthetic_data"
"Somerville Immigration Counsel","contact@somervilleimmigration.com","Somerville","MA","https://www.somervilleimmigration.com",14,"H-1B;TN;PERM","synthetic_data"
"Austin Immigration Law Group","contact@austinimmigration.com","Austin","TX","https://www.austinimmigration.com",41,"H-1B;TN;PERM","synthetic_data"
"San Francisco Immigration Partners","contact@sanfranciscoimmigration.com","San Francisco","CA","https://www.sanfranciscoimmigration.com",24,"H-1B;TN;PERM","synthetic_data"
"San Jose Global Immigration Law","contact@sanjoseimmigration.com","San Jose","CA","https://www.sanjoseimmigration.com",27,"H-1B;TN;PERM","synthetic_data"
"Palo Alto Visa Attorneys","contact@paloaltoimmigration.com","Palo Alto","CA","https://www.paloaltoimmigration.com",24,"H-1B;TN;PERM","synthetic_data"
"Mountain View Immigration Counsel","contact@mountainviewimmigration.com","Mountain View","CA","https://www.mountainviewimmigration.com",39,"H-1B;TN;PERM","synthetic_data"
"Menlo Park Immigration Law Group","contact@menloparkimmigration.com","Menlo Park","CA","https://www.menloparkimmigration.com",28,"H-1B;TN;PERM","synthetic_data"
"Redwood City Immigration Partners","contact@redwoodcityimmigration.com","Redwood City","CA","https://www.redwoodcityimmigration.com",31,"H-1B;TN;PERM","synthetic_data"
"Oakland Global Immigration Law","contact@oaklandimmigration.com","Oakland","CA","https://www.oaklandimmigration.com",31,"H-1B;TN;PERM","synthetic_data"
"Berkeley Visa Attorneys","contact@berkeleyimmigration.com","Berkeley","CA","https://www.berkeleyimmigration.com",34,"H-1B;TN;PERM","synthetic_data"
"Seattle Immigration Counsel","contact@seattleimmigration.com","Seattle","WA","https://www.seattleimmigration.com",14,"H-1B;TN;PERM","synthetic_data"
"Bellevue Immigration Law Group","contact@bellevueimmigration.com","Bellevue","WA","https://www.bellevueimmigration.com",47,"H-1B;TN;PERM","synthetic_data"
"Redmond Immigration Partners","contact@redmondimmigration.com","Redmond","WA","https://www.redmondimmigration.com",42,"H-1B;TN;PERM","synthetic_data"
"New York Global Immigration Law","contact@newyorkimmigration.com","New York","NY","https://www.newyorkimmigration.com",13,"H-1B;TN;PERM","synthetic_data"
"Brooklyn Visa Attorneys","contact@brooklynimmigration.com","Brooklyn","NY","https://www.brooklynimmigration.com",19,"H-1B;TN;PERM","synthetic_data"
"Manhattan Immigration Counsel","contact@manhattanimmigration.com","Manhattan","NY","https://www.manhattanimmigration.com",16,"H-1B;TN;PERM","synthetic_data"
"Boston Immigration Law Group","contact@bostonimmigration.com","Boston","MA","https://www.bostonimmigration.com",7,"H-1B;TN;PERM","synthetic_data"
"Cambridge Immigration Partners","contact@cambridgeimmigration.com","Cambridge","MA","https://www.cambridgeimmigration.com",8,"H-1B;TN;PERM","synthetic_data"
"Somerville Global Immigration Law","contact@somervilleimmigration.com","Somerville","MA","https://www.somervilleimmigration.com",10,"H-1B;TN;PERM","synthetic_data"
"Austin Visa Attorneys","contact@austinimmigration.com","Austin","TX","https://www.austinimmigration.com",49,"H-1B;TN;PERM","synthetic_data"
"San Francisco Immigration Counsel","contact@sanfranciscoimmigration.com","San Francisco","CA","https://www.sanfranciscoimmigration.com",9,"H-1B;TN;PERM","synthetic_data"
"San Jose Immigration Law Group","contact@sanjoseimmigration.com","San Jose","CA","https://www.sanjoseimmigration.com",11,"H-1B;TN;PERM","synthetic_data"
"Palo Alto Immigration Partners","contact@paloaltoimmigration.com","Palo Alto","CA","https://www.paloaltoimmigration.com",17,"H-1B;TN;PERM","synthetic_data"
"Mountain View Global Immigration Law","contact@mountainviewimmigration.com","Mountain View","CA","https://www.mountainviewimmigration.com",22,"H-1B;TN;PERM","synthetic_data"
"Menlo Park Visa Attorneys","contact@menloparkimmigration.com","Menlo Park","CA","https://www.menloparkimmigration.com",5,"H-1B;TN;PERM","synthetic_data"
"Redwood City Immigration Counsel","contact@redwoodcityimmigration.com","Redwood City","CA","https://www.redwoodcityimmigration.com",25,"H-1B;TN;PERM","synthetic_data"
"Oakland Immigration Law Group","contact@oaklandimmigration.com","Oakland","CA","https://www.oaklandimmigration.com",18,"H-1B;TN;PERM","synthetic_data"
"Berkeley Immigration Partners","contact@berkeleyimmigration.com","Berkeley","CA","https://www.berkeleyimmigration.com",21,"H-1B;TN;PERM","synthetic_data"
"Seattle Global Immigration Law","contact@seattleimmigration.com","Seattle","WA","https://www.seattleimmigration.com",17,"H-1B;TN;PERM","synthetic_data"
"Bellevue Visa Attorneys","contact@bellevueimmigration.com","Bellevue","WA","https://www.bellevueimmigration.com",9,"H-1B;TN;PERM","synthetic_data"
"Redmond Immigration Counsel","contact@redmondimmigration.com","Redmond","WA","https://www.redmondimmigration.com",41,"H-1B;TN;PERM","synthetic_data"
"New York Immigration Law Group","contact@newyorkimmigration.com","New York","NY","https://www.newyorkimmigration.com",8,"H-1B;TN;PERM","synthetic_data"
"Brooklyn Immigration Partners","contact@brooklynimmigration.com","Brooklyn","NY","https://www.brooklynimmigration.com",33,"H-1B;TN;PERM","synthetic_data"
"Manhattan Global Immigration Law","contact@manhattanimmigration.com","Manhattan","NY","https://www.manhattanimmigration.com",8,"H-1B;TN;PERM","synthetic_data"
"Boston Visa Attorneys","contact@bostonimmigration.com","Boston","MA","https://www.bostonimmigration.com",7,"H-1B;TN;PERM","synthetic_data"
"Cambridge Immigration Counsel","contact@cambridgeimmigration.com","Cambridge","MA","https://www.cambridgeimmigration.com",46,"H-1B;TN;PERM","synthetic_data"
"Somerville Immigration Law Group","contact@somervilleimmigration.com","Somerville","MA","https://www.somervilleimmigration.com",45,"H-1B;TN;PERM","synthetic_data"
"Austin Immigration Partners","contact@austinimmigration.com","Austin","TX","https://www.austinimmigration.com",34,"H-1B;TN;PERM","synthetic_data"
"San Francisco Global Immigration Law","contact@sanfranciscoimmigration.com","San Francisco","CA","https://www.sanfranciscoimmigration.com",8,"H-1B;TN;PERM","synthetic_data"
"San Jose Visa Attorneys","contact@sanjoseimmigration.com","San Jose","CA","https://www.sanjoseimmigration.com",46,"H-1B;TN;PERM","synthetic_data"
"Palo Alto Immigration Counsel","contact@paloaltoimmigration.com","Palo Alto","CA","https://www.paloaltoimmigration.com",26,"H-1B;TN;PERM","synthetic_data"
"Mountain View Immigration Law Group","contact@mountainviewimmigration.com","Mountain View","CA","https://www.mountainviewimmigration.com",12,"H-1B;TN;PERM","synthetic_data"
"Menlo Park Immigration Partners","contact@menloparkimmigration.com","Menlo Park","CA","https://www.menloparkimmigration.com",26,"H-1B;TN;PERM","synthetic_data"
"Redwood City Global Immigration Law","contact@redwoodcityimmigration.com","Redwood City","CA","https://www.redwoodcityimmigration.com",17,"H-1B;TN;PERM","synthetic_data"
"Oakland Visa Attorneys","contact@oaklandimmigration.com","Oakland","CA","https://www.oaklandimmigration.com",20,"H-1B;TN;PERM","synthetic_data"
"Berkeley Immigration Counsel","contact@berkeleyimmigration.com","Berkeley","CA","https://www.berkeleyimmigration.com",22,"H-1B;TN;PERM","synthetic_data"
"Seattle Immigration Law Group","contact@seattleimmigration.com","Seattle","WA","https://www.seattleimmigration.com",28,"H-1B;TN;PERM","synthetic_data"
"Bellevue Immigration Partners","contact@bellevueimmigration.com","Bellevue","WA","https://www.bellevueimmigration.com",39,"H-1B;TN;PERM","synthetic_data"
"Redmond Global Immigration Law","contact@redmondimmigration.com","Redmond","WA","https://www.redmondimmigration.com",11,"H-1B;TN;PERM","synthetic_data"
"New York Visa Attorneys","contact@newyorkimmigration.com","New York","NY","https://www.newyorkimmigration.com",23,"H-1B;TN;PERM","synthetic_data"
"Brooklyn Immigration Counsel","contact@brooklynimmigration.com","Brooklyn","NY","https://www.brooklynimmigration.com",14,"H-1B;TN;PERM","synthetic_data"
"Manhattan Immigration Law Group","contact@manhattanimmigration.com","Manhattan","NY","https://www.manhattanimmigration.com",6,"H-1B;TN;PERM","synthetic_data"
"Boston Immigration Partners","contact@bostonimmigration.com","Boston","MA","https://www.bostonimmigration.com",35,"H-1B;TN;PERM","synthetic_data"
"Cambridge Global Immigration Law","contact@cambridgeimmigration.com","Cambridge","MA","https://www.cambridgeimmigration.com",39,"H-1B;TN;PERM","synthetic_data"
"Somerville Visa Attorneys","contact@somervilleimmigration.com","Somerville","MA","https://www.somervilleimmigration.com",38,"H-1B;TN;PERM","synthetic_data"
"Austin Immigration Counsel","contact@austinimmigration.com","Austin","TX","https://www.austinimmigration.com",30,"H-1B;TN;PERM","synthetic_data"
"San Francisco Immigration Law Group","contact@sanfranciscoimmigration.com","San Francisco","CA","https://www.sanfranciscoimmigration.com",8,"H-1B;TN;PERM","synthetic_data"
"San Jose Immigration Partners","contact@sanjoseimmigration.com","San Jose","CA","https://www.sanjoseimmigration.com",44,"H-1B;TN;PERM","synthetic_data"
"Palo Alto Global Immigration Law","contact@paloaltoimmigration.com","Palo Alto","CA","https://www.paloaltoimmigration.com",31,"H-1B;TN;PERM","synthetic_data"
"Mountain View Visa Attorneys","contact@mountainviewimmigration.com","Mountain View","CA","https://www.mountainviewimmigration.com",27,"H-1B;TN;PERM","synthetic_data"
"Menlo Park Immigration Counsel","contact@menloparkimmigration.com","Menlo Park","CA","https://www.menloparkimmigration.com",7,"H-1B;TN;PERM","synthetic_data"
"Redwood City Immigration Law Group","contact@redwoodcityimmigration.com","Redwood City","CA","https://www.redwoodcityimmigration.com",31,"H-1B;TN;PERM","synthetic_data"
"Oakland Immigration Partners","contact@oaklandimmigration.com","Oakland","CA","https://www.oaklandimmigration.com",12,"H-1B;TN;PERM","synthetic_data"
"Berkeley Global Immigration Law","contact@berkeleyimmigration.com","Berkeley","CA","https://www.berkeleyimmigration.com",24,"H-1B;TN;PERM","synthetic_data"
"Seattle Visa Attorneys","contact@seattleimmigration.com","Seattle","WA","https://www.seattleimmigration.com",31,"H-1B;TN;PERM","synthetic_data"
"Bellevue Immigration Counsel","contact@bellevueimmigration.com","Bellevue","WA","https://www.bellevueimmigration.com",11,"H-1B;TN;PERM","synthetic_data"
"Redmond Immigration Law Group","contact@redmondimmigration.com","Redmond","WA","https://www.redmondimmigration.com",15,"H-1B;TN;PERM","synthetic_data"
"New York Immigration Partners","contact@newyorkimmigration.com","New York","NY","https://www.newyorkimmigration.com",24,"H-1B;TN;PERM","synthetic_data"
"Brooklyn Global Immigration Law","contact@brooklynimmigration.com","Brooklyn","NY","https://www.brooklynimmigration.com",26,"H-1B;TN;PERM","synthetic_data"
"Manhattan Visa Attorneys","contact@manhattanimmigration.com","Manhattan","NY","https://www.manhattanimmigration.com",36,"H-1B;TN;PERM","synthetic_data"
"Boston Immigration Counsel","contact@bostonimmigration.com","Boston","MA","https://www.bostonimmigration.com",24,"H-1B;TN;PERM","synthetic_data"
"Cambridge Immigration Law Group","contact@cambridgeimmigration.com","Cambridge","MA","https://www.cambridgeimmigration.com",37,"H-1B;TN;PERM","synthetic_data"
"Somerville Immigration Partners","contact@somervilleimmigration.com","Somerville","MA","https://www.somervilleimmigration.com",25,"H-1B;TN;PERM","synthetic_data"
"Austin Global Immigration Law","contact@austinimmigration.com","Austin","TX","https://www.austinimmigration.com",37,"H-1B;TN;PERM","synthetic_data"
"San Francisco Visa Attorneys","contact@sanfranciscoimmigration.com","San Francisco","CA","https://www.sanfranciscoimmigration.com",32,"H-1B;TN;PERM","synthetic_data"
"San Jose Immigration Counsel","contact@sanjoseimmigration.com","San Jose","CA","https://www.sanjoseimmigration.com",38,"H-1B;TN;PERM","synthetic_data"
"Palo Alto Immigration Law Group","contact@paloaltoimmigration.com","Palo Alto","CA","https://www.paloaltoimmigration.com",45,"H-1B;TN;PERM","synthetic_data"
"Mountain View Immigration Partners","contact@mountainviewimmigration.com","Mountain View","CA","https://www.mountainviewimmigration.com",8,"H-1B;TN;PERM","synthetic_data"
"Menlo Park Global Immigration Law","contact@menloparkimmigration.com","Menlo Park","CA","https://www.menloparkimmigration.com",10,"H-1B;TN;PERM","synthetic_data"
"Redwood City Visa Attorneys","contact@redwoodcityimmigration.com","Redwood City","CA","https://www.redwoodcityimmigration.com",20,"H-1B;TN;PERM","synthetic_data"
"Oakland Immigration Counsel","contact@oaklandimmigration.com","Oakland","CA","https://www.oaklandimmigration.com",37,"H-1B;TN;PERM","synthetic_data"
"Berkeley Immigration Law Group","contact@berkeleyimmigration.com","Berkeley","CA","https://www.berkeleyimmigration.com",27,"H-1B;TN;PERM","synthetic_data"
