Recording ID,Timestamp,Issue Type,Severity,Page/Component,Description,User Action,Expected Behavior,Actual Behavior,Frequency (N of 10),Revenue Impact ($),Priority Score,Fix Status,GitHub Issue
1,0:45,Rage Click,P0,Calculator Submit Button,"User clicks 'Calculate' button 7 times rapidly, no response","Clicks 'Calculate Tax Savings' button repeatedly","Calculator results display immediately","Button appears disabled, no visual feedback, no results",1,299,"50 × 100 × 50 = 250,000",Not Fixed,
1,1:12,Dead Click,P1,Calculator Results Card,"User clicks on '$5,421 FTC Savings' text expecting details","Clicks on savings amount text 2 times","Tooltip or modal explaining FTC calculation details","Nothing happens, no indication element is non-interactive",1,299,"10 × 50 × 50 = 25,000",Not Fixed,
1,2:34,Error Message,P0,RSU Entry Form,"Email validation shows 'Invalid email' for valid email format","Enters 'user@company.com' in email field","Email accepted, form proceeds to next step","Error message: 'Invalid email format', blocks form submission",1,299,"10 × 100 × 50 = 50,000",Not Fixed,
2,3:45,Abandonment,P2,Pricing Page,"User reads pricing page for 2:34, hovers over Pro CTA for 14s, then leaves","Scrolls pricing comparison table 3 times, hovers over 'Start Pro Trial' button, closes tab","User clicks CTA and proceeds to checkout","User closes browser tab without interacting","1 (common pattern)",299,"10 × 20 × 30 = 6,000",Not Fixed,
3,0:52,Mobile Issue,P0,Calculator Form (Mobile),"Input fields overlap on iPhone, user cannot tap 'Grant Date' field","Attempts to tap 'Grant Date' input field on mobile","Field receives focus, keyboard appears","Field is hidden behind 'RSU Amount' field due to layout bug","1 (mobile-specific)",299,"10 × 100 × 50 = 50,000",Not Fixed,
4,1:18,Performance,P1,Calculator Results,"Calculator takes 8.2 seconds to display results, user clicks button 2 more times","Clicks 'Calculate Tax Savings', waits with loading spinner visible","Results display within 2-3 seconds","8.2 second delay, user confused and re-clicks button",1,299,"10 × 50 × 30 = 15,000",Not Fixed,
5,1:05,Confusion Pattern,P1,Onboarding Step 2,"User hovers over Province dropdown for 23s, opens/closes 4 times without selecting","Hovers over 'Province' dropdown, opens list, scrolls, closes without selecting, repeats 4x","User selects province from dropdown immediately","User appears confused about which province to select, no help text",1,299,"10 × 50 × 30 = 15,000",Not Fixed,
6,2:10,Dead Click,P2,Landing Page Hero,"User clicks 'Save $5K+ on RSUs' headline text expecting interaction","Clicks on hero headline text 2 times","Text remains static (or potentially links to calculator)","Nothing happens, user appears to expect clickable element",1,0,"10 × 20 × 10 = 2,000",Not Fixed,
7,0:38,Rage Click,P0,Signup Button,"User clicks 'Sign Up' button 5 times, redirects to 404 page","Clicks 'Get Started Free' button on pricing page","Redirect to /sign-up page","Redirect to 404 error page, signup flow broken",1,299,"10 × 100 × 50 = 50,000",Not Fixed,
8,1:55,Abandonment,P1,Checkout (Stripe),"User reaches Stripe checkout, reads pricing, closes tab without completing","Clicks 'Upgrade to Pro', Stripe checkout loads, user reviews total for 45s","User enters payment info and completes purchase","User closes tab, possibly due to price surprise or lack of trust signals",1,299,"10 × 50 × 100 = 50,000",Not Fixed,
