Firm Name,Contact Name,Email,City,Date Email 1 Sent,Email 1 Opened,Email 2 Sent (Day 3),Email 2 Opened,Email 3 Sent (Day 7),Email 3 Opened,Email 4 Sent (Day 14),Email 4 Opened,Call Scheduled,Call Completed,Partnership Signed,Referral Code,Status,Notes
Berry Appleman & Leiden LLP,,info@bal.com,San Francisco,,,,,,,,,,,,,Not Started,High priority - largest firm
Fragomen,,info@fragomen.com,New York,,,,,,,,,,,,,Not Started,High priority - 10K+ clients
Greenberg Traurig LLP,,immigration@gtlaw.com,New York,,,,,,,,,,,,,Not Started,High priority - major firm
Jackson Lewis P.C.,,info@jacksonlewis.com,Seattle,,,,,,,,,,,,,Not Started,High priority - Seattle tech
Klasko Immigration Law Partners,,info@klaskolaw.com,Philadelphia,,,,,,,,,,,,,Not Started,Medium priority
Siskind Susser PC,,info@visalaw.com,Memphis,,,,,,,,,,,,,Not Started,Medium priority
Foster LLP,,info@foster.com,Seattle,,,,,,,,,,,,,Not Started,High priority - Seattle tech hub
Wolfsdorf Rosenthal LLP,,info@wolfsdorf.com,Los Angeles,,,,,,,,,,,,,Not Started,Medium priority
Kurzban Kurzban Tetzeli & Pratt P.A.,,info@kktp.com,Miami,,,,,,,,,,,,,Not Started,Low priority
Maggio Kattar,,info@maggio-kattar.com,Washington,,,,,,,,,,,,,Not Started,Medium priority
