Recording ID,Timestamp,Issue Type,Severity,Page/Component,Description,User Action,Expected Behavior,Actual Behavior,Frequency,Revenue Impact ($),Priority Score
rec_001,0:45,Rage Click,P0,Calculator Form - Submit Button,User clicks 'Calculate Tax Savings' button 8 times with no response,Clicked submit button 8 times rapidly,Loading spinner appears and results display within 2-3 seconds,No visual feedback; button appears unresponsive; no loading state,5/20 (25%),4000,125000
rec_001,1:12,Dead Click,P1,Calculator Results - FTC Savings Text,User clicks on '$5421 FTC Savings' text expecting tooltip/explanation,Clicked FTC savings amount twice,Tooltip or modal explaining Foreign Tax Credit calculation,Nothing happens; text is non-interactive,8/20 (40%),800,32000
rec_001,2:30,Abandonment,P1,Pricing Page - Bottom,User reads entire pricing page for 2:15 then closes tab without action,Scrolled to bottom; hovered over CTA for 11 seconds; closed tab,User clicks 'Upgrade to Pro' CTA,User abandons without conversion,12/20 (60%),6000,360000
rec_002,0:35,Mobile Issue,P0,Calculator Form - Input Fields,iPhone user cannot tap 'Grant Date' field (overlapped by 'RSU Amount'),Attempted to tap Grant Date field 6 times,Field receives focus and iOS keyboard appears,Field is hidden/overlapped; taps register on wrong element,4/4 mobile (100%),2800,280000
rec_002,1:10,Error Rage,P0,Calculator Form - Date Validation,User enters valid date '03/15/2024' but gets 'Invalid date format' error,Tried 5 different date formats (MM/DD/YYYY to YYYY-MM-DD),Date is accepted or helpful error message shows correct format,Confusing error message; no format example provided,3/20 (15%),1500,22500
rec_003,0:52,Confusion Pattern,P1,Onboarding - Province Selection,User hovers over Province dropdown for 28 seconds before selecting,Hovered; opened/closed dropdown 4 times; scrolled page looking for help,Clear help text or tooltip explaining why province is needed,No help text; unclear why this field matters,6/20 (30%),1200,36000
rec_003,1:45,Performance,P1,Calculator API - Calculation Time,User clicks Calculate button and waits 9.5 seconds for results,Clicked button; waited; clicked 2 more times during wait,Results appear within 2 seconds; loading state visible,9.5 second delay; user confused if it's working,2/20 (10%),600,6000
rec_004,0:20,Dead Click,P2,Landing Page - Hero Headline,User clicks hero headline text 'Save $5K+ on RSU Taxes',Clicked headline twice,No action (text not meant to be clickable),Nothing happens (correct behavior but user expected something),4/20 (20%),200,800
rec_005,1:30,Abandonment,P1,Signup Flow - Email Verification,User reaches 'Check your email to verify' screen then never returns,Closed tab after seeing verification screen,User checks email and clicks verification link,User abandons; verification email may not have arrived,7/20 (35%),3500,122500
rec_006,0:58,Rage Click,P0,Mobile - Navigation Hamburger Menu,Mobile user taps hamburger menu icon 5 times - menu doesn't open,Tapped menu icon 5 times rapidly,Mobile navigation menu slides open,Menu doesn't open; JavaScript event handler not attached,3/4 mobile (75%),1500,112500
rec_007,2:05,Confusion Pattern,P2,Dashboard - Free Tier Limit Banner,'You've used 1 of 1 RSU entries' confuses users about what to do next,Read banner 3 times; clicked on it (dead click); looked for 'add more',Clear CTA: 'Upgrade to add more RSU entries',Banner text unclear; no upgrade CTA visible on banner,9/20 (45%),2000,90000
rec_008,0:40,Error Rage,P1,Checkout - Stripe Payment Form,User enters valid credit card but Stripe shows 'Payment method not supported',Tried same card 3 times; tried different card,Payment is processed successfully,Stripe error (possible test mode vs live mode issue),2/20 (10%),2000,20000
rec_009,1:15,Mobile Issue,P1,Calculator Results - Horizontal Scroll,Mobile user must scroll horizontally to see full results table,Scrolled left/right to see tax breakdown columns,Results fit in mobile viewport width (responsive table),Table width exceeds mobile screen; horizontal scroll required,3/4 mobile (75%),600,45000
rec_010,3:10,Abandonment,P2,Multi-Year Planner - Complex Interface,User opens multi-year planner but abandons after 15 seconds,Looked at interface; scrolled; immediately closed,User enters multiple years of RSU data,Interface too complex; no onboarding/tutorial,5/20 (25%),1000,25000
rec_011,0:25,Confusion Pattern,P1,Calculator Form - Filing Status Dropdown,User confused by 'Filing Status' dropdown options (what's MFS vs MFJ?),Hovered over dropdown for 18 seconds; tried googling 'MFS vs MFJ',Tooltip explaining each option or link to help article,No help text; tax jargon not explained,8/20 (40%),1600,64000
rec_012,1:50,Performance,P2,Dashboard - Initial Page Load,Dashboard takes 6.2 seconds to load after login,Waited staring at blank screen,Dashboard loads within 2 seconds with loading skeleton,Long load time; no loading indicator,4/20 (20%),400,8000
rec_013,2:20,Dead Click,P1,Pricing Page - FAQ Accordion,User clicks FAQ question but accordion doesn't expand,Clicked FAQ question 4 times,Accordion expands showing answer,Accordion doesn't respond (JavaScript not loaded?),3/20 (15%),900,13500
rec_014,0:15,Error,P0,Signup - Email Validation,User enters valid email 'john@company.co' but gets 'Invalid email' error,Tried 3 different valid emails,Email is accepted,.co domains incorrectly flagged as invalid,2/20 (10%),2000,20000
rec_015,1:05,Confusion Pattern,P2,Pricing Page - Tier Comparison,User switches between Pro and Enterprise tabs 6 times unable to decide,Toggled between tiers; re-read features multiple times,Clear differentiation between tiers; recommendation shown,Features too similar; unclear which tier to choose,10/20 (50%),3000,150000
rec_016,3:45,Abandonment,P1,Calculator Results - No Next Step CTA,User views results but doesn't see clear CTA to sign up or save results,Scrolled results; closed tab after 45 seconds,Prominent 'Save Results' or 'Sign Up Free' CTA below results,No clear CTA; user doesn't know what to do next,11/20 (55%),5500,302500
rec_017,0:55,Mobile Issue,P2,Landing Page - CTA Buttons Too Small,Mobile user misses 'Get Started Free' button tap 3 times (too small),Tried tapping CTA; missed and hit background instead,Button tap target ≥44px (Apple guidelines),Button too small; tap target <44px,2/4 mobile (50%),400,8000
rec_018,2:10,Performance,P1,Blog Post - Slow Image Loading,User waits 8 seconds for blog post hero image to load,Scrolled to article; waited for image to appear,Images lazy load or appear within 1 second,8 second image load; unoptimized file size,6/20 (30%),300,9000
rec_019,1:30,Error,P1,Password Reset - Email Not Sent,User requests password reset but email never arrives,Clicked 'Forgot Password'; entered email; no email received,Password reset email arrives within 60 seconds,Email not sent (email service misconfiguration?),1/20 (5%),500,2500
rec_020,2:55,Abandonment,P2,Referral Program - Confusing Instructions,User lands on referral page but doesn't understand how to share link,Read referral page for 90 seconds; closed tab,Clear copy-paste referral link with sharing instructions,Instructions unclear; no prominent 'Copy Link' button,4/20 (20%),600,12000
